method,method_family,model_gb,optimizer_gb,gradients_gb,activations_gb,peak_vram_gb
adammini-adaptive_stochastic-r8,new_stochastic,2.048999786376953,0.009318146854639053,2.048999786376953,1.9860584400594234,6.093376159667969
adammini-block_fisher_projector-r8,baseline_projector,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,6.09602689743042
adammini-fisher_projector-r8,baseline_projector,2.048999786376953,0.009350571781396866,2.048999786376953,1.9896533153951168,6.09700345993042
adammini-galore2-r8,baseline_projector,2.048999786376953,0.009350571781396866,2.048999786376953,1.9860674999654293,6.093417644500732
adammini-lotus-r8,baseline_projector,2.048999786376953,0.009350571781396866,2.048999786376953,1.995245661586523,6.102595806121826
adammini-softmax_fisher_projector-r8,baseline_projector,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,6.09602689743042
adammini-topk_fisher_projector-r8,baseline_projector,2.048999786376953,0.009350571781396866,2.048999786376953,1.9896533153951168,6.09700345993042
