run_name,opt,proj,rank,size,attention,seed,step,tokens_seen,train_loss,train_ppl_capped,val_loss,val_perplexity,test_loss,test_perplexity,vram_total_peak_gb,vram_model_gb,vram_optimizer_gb,vram_gradients_gb,vram_activations_gb,iter_time,tokens_per_sec,grad_norm,lr,batch_size,sequence_length,max_projected_params,wall_time_sec
adammini-stochastic_old-r8,adammini,stochastic_old,8,1.1B,sdpa,666,0,32768,2.5204966068267822,12.434770322341665,nan,nan,nan,nan,22.17638635635376,4.097999572753906,0.01870039477944374,4.097999572753906,13.961686816066504,12.878675699234009,2544.269044431062,2.5158324241638184,2e-06,16,2048,,12.882482290267944
adammini-stochastic_old-r8,adammini,stochastic_old,8,1.1B,sdpa,666,1,65536,2.550102472305298,12.808416223355094,nan,nan,nan,nan,22.21038579940796,4.097999572753906,0.01870039477944374,4.097999572753906,13.995686259120703,6.190216302871704,3435.8886697095995,3.142854928970337,4e-06,16,2048,,19.10387873649597
adammini-stochastic_old-r8,adammini,stochastic_old,8,1.1B,sdpa,666,2,98304,2.6538777351379395,14.209030811994163,nan,nan,nan,nan,22.21038579940796,4.097999572753906,0.01870039477944374,4.097999572753906,13.995686259120703,6.170551061630249,3889.244912857782,2.6467435359954834,6e-06,16,2048,,25.305665731430054
adammini-stochastic_old-r8,adammini,stochastic_old,8,1.1B,sdpa,666,3,131072,2.364269256591797,10.636263597498829,nan,nan,nan,nan,22.21038579940796,4.097999572753906,0.01870039477944374,4.097999572753906,13.995686259120703,6.169376373291016,4164.053488256047,2.6398682594299316,8e-06,16,2048,,31.506710529327393
adammini-stochastic_old-r8,adammini,stochastic_old,8,1.1B,sdpa,666,4,163840,2.521864175796509,12.451787361715509,nan,nan,nan,nan,22.21038579940796,4.097999572753906,0.01870039477944374,4.097999572753906,13.995686259120703,6.202407598495483,4344.644888896683,3.0797603130340576,1e-05,16,2048,,37.740803956985474
adammini-stochastic_old-r8,adammini,stochastic_old,8,1.1B,sdpa,666,5,196608,2.3492016792297363,10.477202217050259,nan,nan,nan,nan,22.21038579940796,4.097999572753906,0.01870039477944374,4.097999572753906,13.995686259120703,6.178522348403931,4476.428001432029,2.0068557262420654,1.2e-05,16,2048,,43.950613498687744
adammini-stochastic_old-r8,adammini,stochastic_old,8,1.1B,sdpa,666,6,229376,2.3110885620117188,10.085397262081052,nan,nan,nan,nan,22.21038579940796,4.097999572753906,0.01870039477944374,4.097999572753906,13.995686259120703,6.1887664794921875,4574.579568001733,2.403482437133789,1.4e-05,16,2048,,50.17149996757507
adammini-stochastic_old-r8,adammini,stochastic_old,8,1.1B,sdpa,666,7,262144,2.5055975914001465,12.25087779796395,nan,nan,nan,nan,22.21038579940796,4.097999572753906,0.01870039477944374,4.097999572753906,13.995686259120703,6.1938581466674805,4650.679652213883,2.549088478088379,1.6e-05,16,2048,,56.39679741859436
adammini-stochastic_old-r8,adammini,stochastic_old,8,1.1B,sdpa,666,8,294912,2.613459348678589,13.646176174891213,nan,nan,nan,nan,22.21038579940796,4.097999572753906,0.01870039477944374,4.097999572753906,13.995686259120703,6.20002818107605,4711.188498396715,2.5883827209472656,1.8e-05,16,2048,,62.62838006019592
adammini-stochastic_old-r8,adammini,stochastic_old,8,1.1B,sdpa,666,9,327680,2.3820343017578125,10.82690566940527,nan,nan,nan,nan,22.21038579940796,4.097999572753906,0.01870039477944374,4.097999572753906,13.995686259120703,6.208430767059326,4760.1637767875845,2.331786870956421,2e-05,16,2048,,68.86822032928467
adammini-stochastic_old-r8,adammini,stochastic_old,8,1.1B,sdpa,666,10,360448,2.4735400676727295,11.864373280971545,nan,nan,nan,nan,22.21038579940796,4.097999572753906,0.01870039477944374,4.097999572753906,13.995686259120703,6.205235958099365,4801.195425566396,2.0413153171539307,2.2e-05,16,2048,,75.10460686683655
adammini-stochastic_old-r8,adammini,stochastic_old,8,1.1B,sdpa,666,11,393216,2.033153533935547,7.638135538522485,nan,nan,nan,nan,22.21038579940796,4.097999572753906,0.01870039477944374,4.097999572753906,13.995686259120703,6.200683355331421,4836.211971370198,2.380918264389038,2.4e-05,16,2048,,81.33645510673523
adammini-stochastic_old-r8,adammini,stochastic_old,8,1.1B,sdpa,666,12,425984,2.297062873840332,9.94493000270591,nan,nan,nan,nan,22.21038579940796,4.097999572753906,0.01870039477944374,4.097999572753906,13.995686259120703,6.220004081726074,4865.173805856391,2.437464952468872,2.6e-05,16,2048,,87.58769750595093
adammini-stochastic_old-r8,adammini,stochastic_old,8,1.1B,sdpa,666,13,458752,2.567723035812378,13.036107871222258,nan,nan,nan,nan,22.21038579940796,4.097999572753906,0.01870039477944374,4.097999572753906,13.995686259120703,6.220076560974121,4890.269681248165,2.4621965885162354,2.8e-05,16,2048,,93.83895206451416
