run_name,opt,proj,rank,size,attention,seed,step,tokens_seen,train_loss,train_ppl_capped,val_loss,val_perplexity,test_loss,test_perplexity,vram_total_peak_gb,vram_model_gb,vram_optimizer_gb,vram_gradients_gb,vram_activations_gb,iter_time,tokens_per_sec,grad_norm,lr,batch_size,sequence_length,max_projected_params,wall_time_sec
adammini-adaptive_stochastic-r8,adammini,adaptive_stochastic,8,1.1B,sdpa,666,0,32768,2.5204966068267822,12.434770322341665,nan,nan,nan,nan,22.17638635635376,4.097999572753906,0.018328461796045303,4.097999572753906,13.962058749049902,13.176862478256226,2486.660755953521,2.5158324241638184,2e-06,16,2048,,13.179739713668823
adammini-adaptive_stochastic-r8,adammini,adaptive_stochastic,8,1.1B,sdpa,666,1,65536,2.550102472305298,12.808416223355094,nan,nan,nan,nan,22.20994520187378,4.097999572753906,0.018328461796045303,4.097999572753906,13.995617594569921,6.251142263412476,3372.508744707671,3.142854928970337,4e-06,16,2048,,19.462575435638428
adammini-adaptive_stochastic-r8,adammini,adaptive_stochastic,8,1.1B,sdpa,666,2,98304,2.651090145111084,14.169477014909754,nan,nan,nan,nan,22.20994520187378,4.097999572753906,0.018328461796045303,4.097999572753906,13.995617594569921,6.229771852493286,3825.8457913524703,2.4445717334747314,6e-06,16,2048,,25.72447633743286
adammini-adaptive_stochastic-r8,adammini,adaptive_stochastic,8,1.1B,sdpa,666,3,131072,2.3591485023498535,10.58193712054508,nan,nan,nan,nan,22.20994520187378,4.097999572753906,0.018328461796045303,4.097999572753906,13.995617594569921,6.227032899856567,4102.055784518359,2.1922073364257812,8e-06,16,2048,,31.982074975967407
adammini-adaptive_stochastic-r8,adammini,adaptive_stochastic,8,1.1B,sdpa,666,4,163840,2.5126543045043945,12.33763447633428,nan,nan,nan,nan,22.20994520187378,4.097999572753906,0.018328461796045303,4.097999572753906,13.995617594569921,6.246283054351807,4285.480821731739,2.4144656658172607,1e-05,16,2048,,38.261218786239624
adammini-adaptive_stochastic-r8,adammini,adaptive_stochastic,8,1.1B,sdpa,666,5,196608,2.343891143798828,10.421710140194543,nan,nan,nan,nan,22.20994520187378,4.097999572753906,0.018328461796045303,4.097999572753906,13.995617594569921,6.22627592086792,4419.138789505799,1.7209818363189697,1.2e-05,16,2048,,44.51975226402283
adammini-adaptive_stochastic-r8,adammini,adaptive_stochastic,8,1.1B,sdpa,666,6,229376,2.3027873039245605,10.002022313765233,nan,nan,nan,nan,22.20994520187378,4.097999572753906,0.018328461796045303,4.097999572753906,13.995617594569921,6.233877420425415,4519.222303899768,1.859248161315918,1.4e-05,16,2048,,50.78524112701416
adammini-adaptive_stochastic-r8,adammini,adaptive_stochastic,8,1.1B,sdpa,666,7,262144,2.4947385787963867,12.118565054593015,nan,nan,nan,nan,22.20994520187378,4.097999572753906,0.018328461796045303,4.097999572753906,13.995617594569921,6.250614404678345,4596.021516744212,1.9383009672164917,1.6e-05,16,2048,,57.0669059753418
adammini-adaptive_stochastic-r8,adammini,adaptive_stochastic,8,1.1B,sdpa,666,8,294912,2.6011908054351807,13.479780277130496,nan,nan,nan,nan,22.20994520187378,4.097999572753906,0.018328461796045303,4.097999572753906,13.995617594569921,6.250409841537476,4657.58806834451,2.101944923400879,1.8e-05,16,2048,,63.34836220741272
adammini-adaptive_stochastic-r8,adammini,adaptive_stochastic,8,1.1B,sdpa,666,9,327680,2.371047019958496,10.708598532895708,nan,nan,nan,nan,22.20994520187378,4.097999572753906,0.018328461796045303,4.097999572753906,13.995617594569921,6.262139320373535,4707.238512913122,1.827497124671936,2e-05,16,2048,,69.64169836044312
