run_name,opt,proj,rank,size,attention,seed,step,tokens_seen,train_loss,train_ppl_capped,val_loss,val_perplexity,test_loss,test_perplexity,vram_total_peak_gb,vram_model_gb,vram_optimizer_gb,vram_gradients_gb,vram_activations_gb,iter_time,tokens_per_sec,grad_norm,lr,batch_size,sequence_length,max_projected_params,wall_time_sec
adammini-none-r8,adammini,none,8,1.1B,sdpa,666,0,32768,2.5204966068267822,12.434770322341665,nan,nan,nan,nan,22.17638635635376,4.097999572753906,4.098000321537256,4.097999572753906,9.882386889308691,12.152521848678589,2696.345450468018,2.5158324241638184,2e-06,16,2048,,12.184532403945923
adammini-none-r8,adammini,none,8,1.1B,sdpa,666,1,65536,2.550102472305298,12.808416223355094,nan,nan,nan,nan,26.282514095306396,4.097999572753906,4.098000321537256,4.097999572753906,13.988514628261328,6.09547758102417,3585.043298113658,3.142854928970337,4e-06,16,2048,,18.314443588256836
adammini-none-r8,adammini,none,8,1.1B,sdpa,666,2,98304,2.6420085430145264,14.041378015233878,nan,nan,nan,nan,26.282514095306396,4.097999572753906,4.098000321537256,4.097999572753906,13.988514628261328,6.113759279251099,4024.149967641223,2.1306488513946533,6e-06,16,2048,,24.46259570121765
adammini-none-r8,adammini,none,8,1.1B,sdpa,666,3,131072,2.344585657119751,10.428950670745126,nan,nan,nan,nan,26.282514095306396,4.097999572753906,4.098000321537256,4.097999572753906,13.988514628261328,6.120392799377441,4285.74811608379,1.753195881843567,8e-06,16,2048,,30.617297649383545
adammini-none-r8,adammini,none,8,1.1B,sdpa,666,4,163840,2.500070810317993,12.18335663751763,nan,nan,nan,nan,26.282514095306396,4.097999572753906,4.098000321537256,4.097999572753906,13.988514628261328,6.145413875579834,4456.660336716742,2.0582408905029297,1e-05,16,2048,,36.796754598617554
adammini-none-r8,adammini,none,8,1.1B,sdpa,666,5,196608,2.3483328819274902,10.468103605026098,nan,nan,nan,nan,26.282514095306396,4.097999572753906,4.098000321537256,4.097999572753906,13.988514628261328,6.124929428100586,4580.595124133107,1.821567177772522,1.2e-05,16,2048,,42.955910444259644
adammini-none-r8,adammini,none,8,1.1B,sdpa,666,6,229376,2.3035807609558105,10.009961638036609,nan,nan,nan,nan,26.282514095306396,4.097999572753906,4.098000321537256,4.097999572753906,13.988514628261328,6.124999761581421,4673.391546232377,1.932523250579834,1.4e-05,16,2048,,49.11520481109619
adammini-none-r8,adammini,none,8,1.1B,sdpa,666,7,262144,2.4976987838745117,12.154491641204443,nan,nan,nan,nan,26.282514095306396,4.097999572753906,4.098000321537256,4.097999572753906,13.988514628261328,6.135606050491333,4744.590530442892,1.9849191904067993,1.6e-05,16,2048,,55.285199880599976
adammini-none-r8,adammini,none,8,1.1B,sdpa,666,8,294912,2.623997449874878,13.79074134370714,nan,nan,nan,nan,26.282514095306396,4.097999572753906,4.098000321537256,4.097999572753906,13.988514628261328,6.136110067367554,4801.441463698063,4.478534698486328,1.8e-05,16,2048,,61.45558190345764
adammini-none-r8,adammini,none,8,1.1B,sdpa,666,9,327680,2.405355215072632,11.082366206612214,nan,nan,nan,nan,26.282514095306396,4.097999572753906,4.098000321537256,4.097999572753906,13.988514628261328,6.166064023971558,4845.763622781395,2.3365747928619385,2e-05,16,2048,,67.65591406822205
adammini-none-r8,adammini,none,8,1.1B,sdpa,666,10,360448,2.4889235496520996,12.048299741035834,nan,nan,nan,nan,26.282514095306396,4.097999572753906,4.098000321537256,4.097999572753906,13.988514628261328,6.143003940582275,4884.171109339314,2.336467981338501,2.2e-05,16,2048,,73.83317351341248
