run_name,opt,proj,rank,size,attention,seed,step,tokens_seen,train_loss,train_ppl_capped,val_loss,val_perplexity,test_loss,test_perplexity,vram_total_peak_gb,vram_model_gb,vram_optimizer_gb,vram_gradients_gb,vram_activations_gb,iter_time,tokens_per_sec,grad_norm,lr,batch_size,sequence_length,max_projected_params,wall_time_sec
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,0,2048,1.9975624084472656,7.371066532716149,2.3571549570289947,10.560862562835332,nan,nan,6.078336715698242,2.048999786376953,0.009350571781396866,2.048999786376953,1.970986571162939,358.20156240463257,5.717391596962319,5.8125,2e-06,1,2048,,361.1197431087494
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,1,4096,2.4645888805389404,11.758646949528877,nan,nan,nan,nan,6.09505033493042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9877001903951168,2.1073591709136963,11.276598448537756,6.65625,4e-06,1,2048,,363.2301015853882
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,2,6144,2.5501186847686768,12.808623881017374,nan,nan,nan,nan,6.09505033493042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9877001903951168,1.3435299396514893,16.852421246407502,6.40625,6e-06,1,2048,,364.57669258117676
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,3,8192,2.3227813243865967,10.204015552000003,nan,nan,nan,nan,6.09505033493042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9877001903951168,2.062227964401245,22.343355162868676,6.28125,8e-06,1,2048,,366.6414439678192
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,4,10240,2.4508864879608154,11.598624203835868,nan,nan,nan,nan,6.09505033493042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9877001903951168,2.07854962348938,27.77095982339413,6.5,1e-05,1,2048,,368.73050355911255
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,5,12288,1.2804871797561646,3.5983923625237533,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,1.9600651264190674,33.14885214674756,5.21875,1.2e-05,1,2048,,370.69156861305237
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,6,14336,0.6174934506416321,1.8542743817067155,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,1.5896258354187012,38.508422394061704,4.0625,1.4e-05,1,2048,,372.2821946144104
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,7,16384,2.598814010620117,13.447779649786897,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,2.0666487216949463,43.76654697424835,6.0625,1.6e-05,1,2048,,374.3498432636261
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,8,18432,2.018026828765869,7.52346519297697,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,4.163880109786987,48.695338631087644,6.03125,1.8e-05,1,2048,,378.51672291755676
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,9,20480,2.3887369632720947,10.899718500638276,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,4.31688928604126,53.49526583625734,5.84375,2e-05,1,2048,,382.83761525154114
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,10,22528,2.4091813564300537,11.12485012921197,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,2.511188507080078,58.460865647747084,6.53125,2.2e-05,1,2048,,385.3518033027649
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,11,24576,2.1253349781036377,8.375702695265042,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,3.181433916091919,63.25278721558999,5.5625,2.4e-05,1,2048,,388.53623819351196
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,12,26624,2.6105458736419678,13.606476241724648,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,14.512256860733032,66.0557475772829,6.53125,2.6e-05,1,2048,,403.05349612236023
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,13,28672,2.7198095321655273,15.177431157187655,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,1.0827298164367676,70.94584776300233,6.21875,2.8e-05,1,2048,,404.13922595977783
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,14,30720,2.6527342796325684,14.192792703033009,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,1.0216631889343262,75.8204702092546,6.9375,3e-05,1,2048,,405.16762709617615
