run_name,opt,proj,rank,size,attention,seed,step,tokens_seen,train_loss,train_ppl_capped,val_loss,val_perplexity,test_loss,test_perplexity,vram_total_peak_gb,vram_model_gb,vram_optimizer_gb,vram_gradients_gb,vram_activations_gb,iter_time,tokens_per_sec,grad_norm,lr,batch_size,sequence_length,max_projected_params,wall_time_sec
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,0,128,2.2168312072753906,9.178200920575827,2.2168312072753906,9.178200920575827,nan,nan,6.453363418579102,2.048999786376953,1.8457496501505375,2.048999786376953,0.5096141956746578,23.180346488952637,5.5212045693574705,42.0,2e-06,1,128,8,23.238345861434937
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,1,256,2.3940587043762207,10.957878599839527,2.033050537109375,7.637348875316749,nan,nan,7.506130218505859,2.048999786376953,1.8457496501505375,2.048999786376953,1.5623809956014156,25.184192895889282,5.286685194733522,33.5,4e-06,1,128,8,48.45087909698486
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,2,384,2.341111183166504,10.392778429424247,1.8346503973007202,6.262944220451268,nan,nan,7.506130218505859,2.048999786376953,1.8457496501505375,2.048999786376953,1.5623809956014156,0.3776583671569824,7.864253568561164,25.375,6e-06,1,128,8,48.880743980407715
adammini-block_fisher_projector-r8,adammini,block_fisher_projector,8,1.1B,sdpa,666,0,128,2.2168312072753906,9.178200920575827,2.2168312072753906,9.178200920575827,nan,nan,6.453363418579102,2.048999786376953,1.8457496501505375,2.048999786376953,0.5096141956746578,24.54538059234619,5.214279017619342,42.0,2e-06,1,128,8,24.60197901725769
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,0,128,2.2168312072753906,9.178200920575827,2.2168312072753906,9.178200920575827,nan,nan,5.676964282989502,2.048999786376953,0.009350571781396866,2.048999786376953,1.5696141384541988,261.77330255508423,0.48896897048003607,42.0,2e-06,1,128,,261.81915187835693
adammini-block_fisher_projector-r8,adammini,block_fisher_projector,8,1.1B,sdpa,666,1,256,2.3940587043762207,10.957878599839527,2.036195993423462,7.661409643769635,nan,nan,7.506130218505859,2.048999786376953,1.8457496501505375,2.048999786376953,1.5623809956014156,22.63511061668396,5.419470208343535,33.5,4e-06,1,128,8,47.28559708595276
adammini-block_fisher_projector-r8,adammini,block_fisher_projector,8,1.1B,sdpa,666,2,384,2.3405799865722656,10.387259286922493,1.8353804349899292,6.267518075117619,nan,nan,7.506130218505859,2.048999786376953,1.8457496501505375,2.048999786376953,1.5623809956014156,0.3571929931640625,8.059812120389342,25.375,6e-06,1,128,8,47.688297271728516
