projector,param_group,param_name,step,rank,rank_energy,rank_90,rank_95,rank_99,effective_rank,mean_angle,max_angle,adaptive_rank,temperature,candidate_count
adaptive_stochastic,embedding,embedding/layer?,1,6,0.9803634285926819,1,3,21,1.542013168334961,,,6,0.3200082962525813,64
adaptive_stochastic,embedding,embedding/layer?,300,8,0.6336564421653748,38,49,61,25.291339874267578,,,8,3.4476939912817355,64
adaptive_stochastic,embedding,embedding/layer?,1,6,0.9803634285926819,1,3,21,1.542013168334961,,,6,0.3200082962525813,64
adaptive_stochastic,embedding,embedding/layer?,300,8,0.6336564421653748,38,49,61,25.291339874267578,,,8,3.4476939912817355,64
adaptive_stochastic,embedding,embedding/layer?,600,8,0.5149722099304199,44,53,62,35.06769561767578,78.56179714202881,89.93096160888672,8,3.790865603958565,64
adaptive_stochastic,embedding,embedding/layer?,900,8,0.5113941431045532,43,52,62,35.31610870361328,78.24718475341797,89.87803649902344,8,3.7537878235122464,64
adaptive_stochastic,head,head/layer?,1,8,0.6579520106315613,31,43,59,19.70855712890625,,,8,2.5067563747940453,64
adaptive_stochastic,head,head/layer?,300,8,0.9264630675315857,5,15,44,3.8110108375549316,54.83714151382446,88.18778228759766,8,2.5353156148881197,64
adaptive_stochastic,head,head/layer?,1,8,0.6579520106315613,31,43,59,19.70855712890625,,,8,2.5067563747940453,64
adaptive_stochastic,head,head/layer?,300,8,0.9264630675315857,5,15,44,3.8110108375549316,54.83714151382446,88.18778228759766,8,2.5353156148881197,64
adaptive_stochastic,head,head/layer?,600,8,0.8312187790870667,17,30,53,8.46220588684082,49.49005472660065,87.55126190185547,8,2.3620878219078003,64
adaptive_stochastic,head,head/layer?,900,8,0.7434260845184326,25,37,56,13.4655122756958,56.09769821166992,87.55484008789062,8,2.352151450412292,64
adaptive_stochastic,k_proj,k_proj/layer0,1,6,0.9874322414398193,3,5,7,3.122361183166504,,,6,0.6404466792800351,18
adaptive_stochastic,k_proj,k_proj/layer0,300,7,0.9840152263641357,4,5,9,4.440540790557861,,,7,0.672290513187258,22
adaptive_stochastic,k_proj,k_proj/layer0,1,6,0.9874322414398193,3,5,7,3.122361183166504,,,6,0.6404466792800351,18
adaptive_stochastic,k_proj,k_proj/layer0,300,7,0.9840152263641357,4,5,9,4.440540790557861,,,7,0.672290513187258,22
adaptive_stochastic,k_proj,k_proj/layer0,600,6,0.9922573566436768,2,2,6,1.8050768375396729,,,6,0.4943427437413692,18
adaptive_stochastic,k_proj,k_proj/layer0,900,6,0.9951817393302917,1,2,5,1.5570276975631714,55.081386725107826,82.30306243896484,6,0.48175404417725864,16
adaptive_stochastic,k_proj,k_proj/layer1,1,6,0.9817832708358765,3,4,9,2.6821374893188477,,,6,0.49832222326069436,28
adaptive_stochastic,k_proj,k_proj/layer1,300,8,0.8859871625900269,9,14,31,10.161561012268066,,,8,1.14744943925917,60
adaptive_stochastic,k_proj,k_proj/layer1,1,6,0.9817832708358765,3,4,9,2.6821374893188477,,,6,0.49832222326069436,28
adaptive_stochastic,k_proj,k_proj/layer1,300,8,0.8859871625900269,9,14,31,10.161561012268066,,,8,1.14744943925917,60
